firstname_male,firstname_female,surname_male,surname_female,patronymic
Абакум,Августа,Авдеев,Авдеева,Александров  
Абрам,Августина,Агапов,Агапова,Алексеев  
Абросим,Авдотья,Агафонов,Агафонова,Анатольев  
Аввакум,Аврелия,Агеев,Агеева,Андреев  
Август,Аврея,Акимов,Акимова,Антонов  
Авдей,Аврора,Аксёнов,Аксёнова,Аркадьев  
Авдий,Агапа,Александров,Александрова,Артемов  
Авель,Агапия,Алексеев,Алексеева,Бедросов  
Авенир,Агарь,Алёхин,Алёхина,Богданов  
Аверий,Агита,Алешин,Алешина,Борисов  
Аверкий,Агафа,Алёшин,Алёшина,Валентинов  
Аверьян,Агафоклия,Ананьев,Ананьева,Валерьев  
Авксентий,Агафоника,Андреев,Андреева,Васильев  
Аврам,Агафья,Андрианов,Андрианова,Викторов  
Аврелиан,Агафия,Аникин,Аникина,Витальев  
Автоном,Аглаида,Анисимов,Анисимова,Владимиров  
Агап,Аглая,Анохин,Анохина,Владиславов  
Агапий,Агна,Антипов,Антипова,Вольфов  
Агапит,Агнесса,Антонов,Антонова,Вячеславов  
Агафангел,Агния,Артамонов,Артамонова,Геннадиев  
Агафон,Аграфена,Артёмов,Артёмова,Георгиев  
Аггей,Агриппина,Архипов,Архипова,Григорьев  
Адам,Ада,Астафьев,Астафьева,Данилов  
Адриан,Аделаида,Астахов,Астахова,Денисов  
Азар,Аделина,Афанасьев,Афанасьева,Дмитриев  
Азарий,Аделла,Бабушкин,Бабушкина,Евгеньев  
Акакий,Адель,Баженов,Баженова,Егоров  
Акила,Адельфина,Балашов,Балашова,Ефимов  
Аким,Адина,Баранов,Баранова,Иванов  
Акиндин,Адолия,Барсуков,Барсукова,Иваныч  
Акинф,Адриана,Басов,Басова,Игнатьев  
Акинфий,Аза,Безруков,Безрукова,Игорев  
Аксён,Азалия,Беликов,Беликова,Иль  
Аксентий,Азелла,Белкин,Белкина,Иосифов  
Александр,Аида,Белов,Белова,Исааков  
Алексей,Акилина,Белоусов,Белоусова,Кириллов  
Алексий,Аксинья,Беляев,Беляева,Константинов  
Альберт,Аксиния,Беляков,Белякова,Леонидов  
Альфред,Акулина,Березин,Березина,Львов  
Амвросий,Алевтина,Берия,Берия,Максимов  
Амос,Александра,Беспалов,Беспалова,Матвеев  
Амфилохий,Александрина,Бессонов,Бессонова,Михайлов  
Ананий,Алексина,Бирюков,Бирюкова,Николаев  
Анастасий,Алёна,Блинов,Блинова,Олегов  
Анатолий,Алина,Блохин,Блохина,Павлов  
Андрей,Алиса,Бобров,Боброва,Палыч  
Андриан,Алла,Богданов,Богданова,Петров  
Андрон,Алфея,Богомолов,Богомолова,Платонов  
Андроний,Альберта,Болдырев,Болдырева,Робертов  
Андроник,Альбертина,Большаков,Большакова,Романов  
Анект,Альбина,Бондарев,Бондарева,Саныч  
Анемподист,Альвина,Борисов,Борисова,Северинов  
Аникей,Альфия,Бородин,Бородина,Семенов  
Аникий,Амалия,Бочаров,Бочарова,Сергеев  
Аникита,Амата,Булатов,Булатова,Станиславов  
Анисий,Амелфа,Булгаков,Булгакова,Степанов  
Анисим,Анастасия,Буров,Бурова,Тарасов  
Антиох,Анатолия,Быков,Быкова,Тимофеев  
Антип,Ангела,Бычков,Бычкова,Федоров  
Антипа,Ангелика,Вавилов,Вавилова,Феликсов  
Антипий,Ангелина,Васильев,Васильева,Филиппов  
Антон,Анджела,Вдовин,Вдовина,Эдуардов  
Антонин,Андрея,Верещагин,Верещагина,Юрьев  
Антроп,Андрона,Вешняков,Вешнякова,Яковлев  
Антропий,Андроника,Виноградов,Виноградова,Ярославов
Ануфрий,Анжелика,Винокуров,Винокурова
Аполлинарий,Анисья,Вишневский,Вишневская
Аполлон,Анисия,Владимиров,Владимирова
Аполлос,Анна,Власов,Власова
Ардалион,Антигона,Волков,Волкова
Ардальон,Антониана,Волошин,Волошина
Ареф,Антонида,Воробьёв,Воробьёва
Арефий,Антонина,Воронин,Воронина
Арий,Антония,Воронков,Воронкова
Аристарх,Анфима,Воронов,Воронова
Аристид,Анфиса,Воронцов,Воронцова
Аркадий,Анфия,Второв,Второва
Арнольд,Анфуса,Высоцкий,Высоцкая
Арон,Аполлинария,Гаврилов,Гаврилова
Арсений,Аполлония,Гайдуков,Гайдукова
Арсентий,Апраксин,Гакабов,Гакабова
Артамон,Апрелия,Галкин,Галкина
Артём,Апфия,Герасимов,Герасимова
Артемий,Аргентея,Гладков,Гладкова
Артур,Ариадна,Глебов,Глебова
Архип,Арина,Глухов,Глухова
Асаф,Ария,Глушков,Глушкова
Асафий,Арминия,Гноев,Гноева
Аскольд,Арсения,Голиков,Голикова
Афанасий,Артемида,Голованов,Голованова
Афиноген,Артемия,Головин,Головина
Афинодор,Аста,Голубев,Голубева
Африкан,Астра,Гончаров,Гончарова
Бажен,Афанасия,Горбань,Горбань
Бенедикт,Аэлита,Горбачав,Горбачёва
Богдан,Беата,Горбачёв,Горбунова
Болеслав,Беатриса,Горбунов,Гордеева
Бонифат,Белла,Гордеев,Горелова
Бонифатий,Бенедикта,Горелов,Горлова
Борис,Берта,Горлов,Горохова
Борислав,Бландина,Горохов,Горшкова
Бронислав,Богдана,Горшков,Горюнова
Будимир,Божена,Горюнов,Горячева
Вавила,Болеслава,Горячев,Грачёва
Вадим,Борислава,Грачёв,Грекова
Валентин,Бояна,Греков,Грибкова
Валериан,Бронислава,Грибков,Грибова
Валерий,Валентина,Грибов,Григорьева
Варлам,Валенсия,Григорьев,Гришина
Варламий,Валерия,Гришин,Громова
Варнава,Ванда,Громов,Губанова
Варсоноф,Васёна,Губанов,Гуляева
Варсонофий,Василида,Гуляев,Гурова
Варфоломей,Василина,Гуров,Гусева
Василий,Василиса,Гусев,Гущина
Вассиан,Василия,Гущин,Давыдова
Велизар,Василла,Давыдов,Дадаева
Велимир,Васса,Данилов,Дадина
Венедикт,Вацлава,Дашков,Данилова
Вениамин,Вевея,Дегтярев,Дарвина
Венцеслав,Велимира,Дегтярёв,Дашкова
Веньямин,Велислава,Дементьев,Дегтярева
Викентий,Венедикта,Демидов,Дегтярёва
Виктор,Венуста,Дёмин,Дедова
Викторий,Венцеслава,Демьянов,Дементьева
Викул,Вера,Денисов,Демидова
Викула,Вереника,Дмитриев,Дёмина
Вилен,Вероника,Добрынин,Демьянова
Виленин,Вербния,Долгов,Денисова
Вильгельм,Веселина,Дорофеев,Дмитриева
Виссарион,Веста,Дорохов,Добрынина
Вит,Вестита,Дроздов,Долгова
Виталий,Вива,Дружинин,Дорофеева
Витовт,Вивея,Дубинин,Дорохова
Витольд,Вивиана,Дубов,Дроздова
Владилен,Видина,Дубровин,Дружинина
Владимир,Викентия,Дьяков,Дубинина
Владислав,Викторина,Дьяконов,Дубова
Владлен,Виктбрия,Евдокимов,Дубровина
Влас,Вила,Евсеев,Дьякова
Власий,Вилена,Егоров,Дьяконова
Вонифат,Виленина,Ежов,Евдокимова
Вонифатий,Вильгельмина,Елизаров,Евсеева
Всеволод,Виолетта,Елисеев,Егорова
Всеслав,Виргиния,Ельцин,Ежова
Вукол,Виринея,Емельянов,Елизарова
Вышеслав,Вита,Еремеев,Елисеева
Вячеслав,Виталика,Ерёмин,Ельцина
Гавриил,Виталина,Ермаков,Емельянова
Гаврил,Виталия,Ермилов,Еремеева
